"Age_BP","depth","Betula","Juniperus","Picea","Pinus","Salix","NAP","AP","Method"
11184.2131,NA,24.0719600807174,NA,NA,13.2820967773776,NA,NA,NA,"modelled"
11158,NA,29.1328075902598,NA,NA,10.9694082601708,NA,51.2921847039339,48.7078152960661,"measured"
11143.1552,NA,31.9995189788457,NA,NA,10.1092793182993,NA,NA,NA,"modelled"
11128,NA,31.8526379250088,NA,NA,9.78287426187465,NA,50.8386400748786,49.1613599251214,"measured"
11108.9403,NA,31.6691857217175,NA,NA,9.85544387213682,NA,NA,NA,"modelled"
11098,NA,27.9721543565854,NA,NA,11.0257591144642,NA,51.1106134931912,48.8893865068088,"measured"
11091.8328,NA,25.8886953787117,NA,NA,11.7095501912853,NA,NA,NA,"modelled"
11068,NA,21.862092199924,NA,NA,15.5006850080072,NA,51.7282861545857,48.2717138454143,"measured"
11043.9319,NA,17.7959698520192,NA,NA,17.3009838766988,NA,NA,NA,"modelled"
11038,NA,19.8003159866455,NA,NA,16.5240811919354,NA,51.6531908672961,48.3468091327039,"measured"
11026.8245,NA,23.5765090031304,NA,NA,15.0590853794991,NA,NA,NA,"modelled"
11008,NA,25.0906886786239,NA,NA,14.6056346176488,NA,50.1825776762639,49.8174223237361,"measured"
11006.2955,NA,25.2280776725607,NA,NA,14.6107030590898,NA,NA,NA,"modelled"
10995,8.4,57.952468,0,0,18.3729433,2.55941499,14.6252285,85.3747715,"measured"
10795,8.3,23.3009709,0,0,30.8031774,0.35304501,11.1209179,88.8790821,"measured"
10602.5,8.2,6.37681159,0,0,11.9806763,0.48309179,6.28019324,93.7198068,"measured"
10410,8.1,3.47523892,0,0,5.03909644,0,5.90790617,94.0920938,"measured"
10217.5,8,3.95480226,0,0,5.83804143,0.37664783,6.30885122,93.6911488,"measured"
10025,7.9,3.52733686,0,0,2.99823633,0.52910053,4.32098765,95.6790123,"measured"
9753.333333,7.8,2.33918129,0,0,2.43664717,0.09746589,4.09356725,95.9064327,"measured"
9481.666667,7.7,1.9123506,0,0,1.43426295,0.23904382,5.01992032,94.9800797,"measured"
9210,7.6,1.84108527,0,0,0.7751938,0.09689922,2.22868217,97.7713178,"measured"
8991.666667,7.5,2.89735099,0,0.08278146,0.82781457,0.33112583,3.39403974,96.6059603,"measured"
8773.333333,7.4,2.51937984,0,0,1.1627907,0.19379845,3.58527132,96.4147287,"measured"
8555,7.3,1.04803493,0,0,0.96069869,0.43668122,6.72489083,93.2751092,"measured"
8391.428571,7.2,2.74579274,0,0,2.30292294,0.26572188,6.7316209,93.2683791,"measured"
8227.857143,7.1,1.84738956,0,0,1.52610442,0,6.82730924,93.1726908,"measured"
8064.285714,7,2.52672498,0,0.09718173,1.55490768,0.09718173,6.02526725,93.9747328,"measured"
7900.714286,6.9,1.18343195,0,0,1.01437025,0.08453085,8.53761623,91.4623838,"measured"
7737.142857,6.8,0.9478673,0,0,1.10584518,0.23696682,6.87203791,93.1279621,"measured"
7573.571429,6.7,1.56657963,0,0,1.91470844,0.0870322,5.57006092,94.4299391,"measured"
7410,6.6,1.50976909,0,0,0.79928952,0.26642984,5.86145648,94.1385435,"measured"
7217.5,6.5,2.16637782,0,0,0.6932409,0,6.23916811,93.7608319,"measured"
7025,6.4,1.27701375,0,0,0.98231827,0.39292731,5.00982318,94.9901768,"measured"
6832.5,6.3,1.13339146,0.08718396,0,0.78465562,0.43591979,6.53879686,93.4612031,"measured"
6640,6.2,1.13141862,0,0.0870322,0.69625762,0.1740644,7.74586597,92.254134,"measured"
6447.5,6.1,2.31629393,0.23961661,0,0.71884984,0.0798722,9.74440895,90.2555911,"measured"
6255,6,1.09235353,0,0.09930487,0.89374379,0,8.14299901,91.857001,"measured"
