"Depth_mm","Core.Y..mm.","RMean","RABD620","RABD670","RABD715","RABD845","Chla_calibrated","Bphe_calibrated","depth_VT","mean_VT"
11135,146,0.101060170468188,1.00718195678271,1.01320402160864,1.00252,0.988779238895558,6.76222475165387,0.624550081746763,11135,12581
11136,147.000000000001,0.0965663529411753,1.00701235294118,1.01359117647059,1.00309764705882,0.989522647058823,6.94327577233524,0.722155522481036,11136,12582.0172941176
11137,148,0.0962563386554624,1.00736421368547,1.01330289315726,1.00247289315726,0.988651037214886,6.8084615332456,0.607717899692202,11137,12583.982872509
11138,149,0.0961929451380548,1.00736535414166,1.01291284513806,1.00326301320528,0.98841906242497,6.62605754214626,0.57726087389155,11138,12585
11139,149.999999999999,0.0981544969987984,1.00746,1.01358118847539,1.00248678271309,0.988240524609844,6.93860493670096,0.55381983168325,11139,12586
11140,151,0.100024684033614,1.0073437454982,1.01312450180072,1.00304075630252,0.988675931572629,6.72503771410382,0.610986393205504,11140,12587
11141,152,0.10233867466987,1.00705861944778,1.01396919567827,1.0027181032413,0.988948849939976,7.12005455032686,0.646819087606295,11141,12588
11142,153,0.103849734693878,1.00767551020408,1.01382612244898,1.00314714285714,0.988598551020408,7.0531470754591,0.600826748373756,11142,12589
11143,154.000000000001,0.107166193277315,1.00696344537815,1.0137387394958,1.00275478991597,0.988766168067226,7.01228287764453,0.62283395321443,11143,12590
11144,155,0.108836337334934,1.00741721488595,1.01410557022809,1.00310022809124,0.988784247298919,7.18382942148779,0.625207657815451,11144,12591
11145,156.000000000001,0.108054985594238,1.00767007202881,1.0126650180072,1.0029650180072,0.988989971188476,6.51016243296966,0.652218083449653,11145,12592
11146,157,0.104466869147661,1.00735445378151,1.01329230492197,1.00248,0.989539405762304,6.8035099983545,0.724355848923828,11146,12593
11147,158,0.104139824729893,1.00715965186074,1.01288034813926,1.00251412965186,0.988966668667468,6.61086048437942,0.649158589425249,11147,12594.01524994
11148,158.999999999999,0.105075643457385,1.00668472989196,1.01377655462185,1.00316344537815,0.98905143937575,7.02996693082711,0.66028852147625,11148,12595.9849589436
11149,160,0.103856889555822,1.00637609843938,1.01245158463385,1.00272378151261,0.98854387755102,6.41035139121188,0.593648419778822,11149,12597
11150,161,0.103358100840335,1.00714504201681,1.01285630252101,1.00328680672269,0.988154882352942,6.59961567214865,0.542575470047997,11150,12598
11151,162,0.102518100840336,1.00747442977191,1.01248223289316,1.00294668667467,0.990335242496999,6.42468389526765,0.82884487538436,11151,12599
11152,163.000000000001,0.101887758703479,1.00684303721489,1.0138943457383,1.0031243457383,0.989834866746698,7.08505135299493,0.763148266100019,11152,12600
11153,164,0.100413799519808,1.00676099639856,1.01514025210084,1.0024,0.98964993877551,7.66769318649476,0.738868231222987,11153,12601
11154,165.000000000001,0.0993585205282101,1.00685300120048,1.01410869147659,1.0020162304922,0.989448930372149,7.18528905762302,0.712476923229809,11154,12602
11155,166,0.0989576230492188,1.0076043457383,1.01547522208883,1.00202985594238,0.989507536614646,7.82434021378321,0.72017160350288,11155,12603.0134713085
11156,167,0.0977799956782698,1.0072543457383,1.01605651860744,1.00183603841537,0.989698563025211,8.09618060210762,0.745252330237433,11156,12604.9867683073
11157,167.999999999999,0.0956416504201683,1.00872,1.01763546218487,1.0007705882353,0.990887848739495,8.83456561128922,0.901399063670955,11157,12606
11158,169,0.0977418075630256,1.0080837695078,1.01656450180072,1.00094591836735,0.990965366146458,8.33373638319617,0.911576676784683,11158,12607
11159,170.000000000001,0.0954718224489765,1.00839306122449,1.01635734693878,1.00098020408163,0.991515693877552,8.23686145566516,0.983831708940548,11159,12608
11160,171,0.0945753362545014,1.00664,1.01547642256903,1.00035,0.99147343937575,7.82490161229763,0.978283923114224,11160,12609.0122348139
11161,172.000000000001,0.0972236496998786,1.00730388955582,1.01599262905162,1.00059129651861,0.991838296518608,8.06630297320536,1.02618767773169,11161,12610.9880240096
11162,173,0.0938814124849946,1.00829661464586,1.01622276110444,1.00056169267707,0.991343487394957,8.17392306828947,0.961221936191893,11162,12612
11163,174,0.0960621168067245,1.00884861944778,1.01622506602641,1.00037493397359,0.992146980792317,8.1750009534363,1.06671624073646,11163,12613
11164,175,0.0964990512605052,1.00835394957983,1.01638605042017,1.00046,0.992188411764706,8.25028449412838,1.07215590163856,11164,12614.0111764706
11165,176,0.0930986394957971,1.00824451380552,1.01696057623049,0.999872362545018,0.991652070828331,8.51895859483488,1.00173725941013,11165,12615.9890977191
11166,176.999999999999,0.0936341713085222,1.0076075030012,1.01726150060024,1.00007283913565,0.991325543817526,8.65968436027378,0.958866042256268,11166,12617
11167,178,0.0930355899159664,1.00833111644658,1.01732854741897,1.0008443577431,0.992075244897959,8.69103846726616,1.05729770872231,11167,12618
11168,179.000000000001,0.0934574318127267,1.00858050420168,1.01827629051621,0.9999676302521,0.99265856782713,9.13424575190943,1.13388483058294,11168,12619
11169,180,0.0952416933973588,1.00843100840336,1.0199337214886,0.999191581032413,0.992983356542617,9.90933499591851,1.17652781903408,11169,12620.0097671068
