"age";"Ca";"Ti"
12736;2.97636323132079;2.09051670081635
12737;3.19906980353038;2.06326519997038
12738;3.13255560051491;2.0776910101779
12739;3.17301768742068;2.11319910155407
12741;3.51993816774187;2.01040617731078
12742;3.56469123450393;1.81217227570505
12743;3.48839625662321;1.91515987296803
12744;3.7372347509004;1.90184034577548
12745;3.84934284115188;1.79433015662746
12747;3.86747044942247;1.8521165423501
12748;3.30668716889138;1.9370598602567
12749;3.28656246259921;1.98641801124797
12750;3.15780217110644;1.95138377984383
12752;3.2619950943999;1.92598806116119
12753;3.35288318024561;1.88559117092697
12754;3.68470256120351;1.76150154614799
12755;3.78343365483191;2.08099814183203
12757;3.67596394462838;1.70697685698751
12758;3.37275416123245;1.89785964758128
12759;3.44225046479335;1.79266653557928
12760;3.59015585665751;1.80016364748448
12761;3.69783265846847;1.72697722789059
12763;3.64435958399899;1.39578128383758
12764;3.58947703099112;1.69441031091259
12765;3.88728030088047;1.76714066616116
12766;4.22905904483275;1.68389012889762
12768;4.11360692859585;1.74893812024876
12769;3.77888650775997;1.78286832523746
12770;4.22573080408868;1.65066411935808
12771;4.49473694222922;1.60419509605683
12773;4.30595113132827;1.7115281361763
12774;4.30657597691574;1.55407565734542
12775;4.46420583007027;1.51792973015975
12776;4.37881402550291;1.4143286826626
12778;4.18301039347018;1.3023431669632
12779;4.34884654680454;1.44566855873166
12780;4.14883828173683;1.34573693463565
12781;3.95147329783911;1.42238435653859
12782;3.7238974195258;1.61154894235208
12784;3.380419471155;1.70540144413283
12785;3.77025411470859;1.52688026972579
12786;3.43135754367665;1.72594245124674
12787;3.41063082611764;1.53693785262761
12789;3.94707764836549;1.48235290268299
12790;3.87612566523256;1.36980879557164
12791;3.75223353994006;1.50900603679897
12792;3.81000308934557;1.40268986451424
12793;3.89017345495078;1.25935063479782
12795;3.88186753378487;1.61191793900176
12796;4.42109901373714;1.79357752455322
12797;4.42547057104943;1.82548420565062
12798;4.52705739084025;1.78196649802016
12799;4.31351688452009;1.77516156037215
12801;4.42186191959309;1.78108561264219
12802;4.41101923408088;1.61920063875397
12803;4.16865594074552;1.51282844680508
12804;4.00525157376726;1.56868643374254
12806;3.36563943428431;1.72363593312856
12807;3.33492072270503;1.73294175180059
12808;3.16453321811625;1.39009019889965
12809;3.11739954619248;1.5945325791179
12810;3.21923058964614;1.76155275504367
12812;3.48968056251122;1.74567813745874
12813;3.69639427314397;1.76534591530599
12814;4.04030607932559;2.11768260524735
12815;3.959680779234;1.88272211160543
12816;3.62713225221471;1.78895386425323
12818;3.82417071480944;1.85042576676068
12819;4.48705062247952;1.69841593666187
