"mean_VT22";"P-F2";"P-F3";"Mn-F2";"Mn-F3"
14292.4;137.423892313597;6.76982591876209;365.610630860679;46.880143172147
14313.8;145.582701835862;6.92794932699921;336.39636907843;22.6603558392716
14335.4;NA;6.9101678183613;NA;NA
14355.4;158.145774330398;6.98324022346369;266.458184097288;2.14395430965682
14375.8;151.304855905351;6.97211155378486;302.562988651267;6.5142671434263
14396.4;NA;6.97767145135566;NA;NA
14416.4;122.43105199481;6.93893735130849;257.003902244697;3.10886333068993
14436.4;117.64346180483;6.84931506849315;271.676844040695;9.61476568297456
14456.4;NA;NA;NA;NA
14476.4;NA;NA;NA;NA
14496.4;NA;NA;NA;NA
14515.4;NA;NA;NA;NA
14534.4;215.657660789175;NA;166.020679463817;NA
14553.4;NA;NA;NA;NA
14573;1218.73540394182;105.447056294537;181.689863114541;2.66171988915281
14592;NA;NA;NA;NA
14611;NA;NA;NA;NA
14630;NA;NA;NA;NA
14649.4;NA;NA;NA;NA
14668.4;NA;NA;NA;NA
14687.4;NA;NA;NA;NA
14706.4;NA;NA;NA;NA
14726.4;NA;NA;NA;NA
14745.4;NA;NA;NA;NA
14764.4;121.982360323702;73.1431463405312;26.1645175920229;2.75483876552647
14783.4;NA;NA;NA;NA
14802.4;NA;NA;NA;NA
14821.4;NA;NA;NA;NA
14841.4;NA;NA;NA;NA
14860.4;NA;NA;NA;NA
14879.4;133.702210627741;56.4365141467211;25.1238031772897;7.09800084841409
14898.4;NA;NA;NA;NA
14917.4;55.0279242570148;61.2337784891665;18.6524202798321;0.842761663088034
14936.4;NA;NA;NA;NA
14955.4;NA;NA;NA;NA
14974;NA;NA;NA;NA
14993.4;454.092846790231;104.576323217054;88.5061241287847;7.08842060852713
